1000 2000
537 785 36697102 
537 661 5117646 
537 935 12604059 
538 885 50825185 
538 649 91876258 
538 698 48989551 
539 669 33823383 
541 902 91659530 
541 561 73214832 
542 922 21347933 
544 982 77989267 
544 979 76641327 
545 843 11795291 
545 578 17192229 
546 787 52428339 
547 647 64205869 
547 924 85418615 
547 735 97594691 
548 950 323656 
548 574 87969779 
549 967 72060663 
549 587 59126326 
550 706 59092868 
550 801 78541618 
550 996 65207526 
551 815 2704048 
551 944 19200529 
552 760 3300759 
552 697 68037088 
552 590 99458327 
553 752 69401820 
553 957 36273284 
555 776 96734738 
556 973 89147198 
557 929 48576246 
558 676 36339433 
559 839 93014292 
559 996 34385488 
559 829 92505455 
561 607 75101419 
561 959 11078063 
561 767 76833856 
562 579 32407287 
563 867 23624843 
563 574 44407282 
563 622 64706758 
564 618 98974035 
564 840 60454812 
565 865 14681707 
565 890 78967939 
565 620 54138802 
566 722 74952621 
566 685 7148411 
568 668 19242684 
568 708 1551268 
568 713 23556635 
568 679 49114287 
568 633 65556323 
569 751 11391430 
570 619 29914599 
571 587 26117084 
571 904 76000785 
571 984 17622164 
572 573 18877349 
575 736 36855528 
576 820 75269506 
576 950 95068480 
576 813 68288782 
576 747 99317791 
576 869 63546337 
576 893 27755024 
576 874 55863712 
577 797 36357611 
577 748 38125522 
577 986 60490714 
578 694 37071469 
579 586 20263332 
580 881 73104062 
580 968 46901943 
581 821 78808341 
582 743 14440417 
582 664 82511342 
583 708 60907326 
585 992 33640207 
586 945 24154393 
586 965 56228404 
586 790 24175379 
586 600 2099270 
586 873 17203572 
587 854 29482109 
587 659 88682116 
588 800 98428529 
589 770 50481381 
589 978 99231461 
590 699 69781129 
590 843 92115429 
592 732 70253782 
592 933 36371338 
593 861 99091147 
593 934 55677086 
594 909 27130342 
594 919 82840076 
595 650 29182944 
595 818 97998179 
595 600 40928797 
596 832 27633103 
596 636 68895298 
597 797 42487137 
598 659 69891852 
598 686 56436641 
599 645 45605617 
600 803 41184806 
600 861 27370217 
600 922 83884943 
601 822 64142007 
603 951 97682851 
603 960 79796787 
603 666 79451992 
603 620 52658917 
604 778 7735496 
604 626 56140031 
605 628 75338717 
606 887 84626974 
606 837 76139010 
606 985 51028556 
607 885 72979423 
608 895 33727023 
608 842 87068361 
608 996 5762579 
609 627 41647102 
611 696 58497539 
612 791 57546556 
614 772 33255112 
615 777 21769686 
616 632 7437866 
619 952 87619245 
620 914 30252204 
620 745 42657857 
620 848 67740814 
621 840 83325953 
621 742 8396180 
622 634 87749450 
622 929 66229535 
623 946 52355858 
623 847 45157229 
625 922 34845372 
625 666 83139034 
626 746 57699335 
626 673 31447114 
627 716 46290973 
627 689 87207752 
627 644 9568481 
628 783 10502156 
628 647 60686176 
628 889 79345158 
628 953 72285511 
629 843 3544741 
629 963 70081857 
629 738 69896802 
631 817 43460398 
631 672 97377336 
633 914 16942044 
633 961 20460480 
634 887 54161610 
635 917 61756553 
635 674 81297333 
636 827 38670489 
636 854 21549086 
636 726 41449451 
636 883 45408437 
638 764 91817820 
638 749 39361370 
639 770 52001544 
639 872 3606571 
639 817 11905 
640 929 65241683 
640 834 64518339 
641 868 60676491 
641 715 86098559 
642 769 50369631 
642 836 62786837 
643 744 23588311 
644 715 30753530 
645 890 15844544 
645 877 11341584 
646 662 46476061 
646 661 59388953 
646 808 29036508 
647 886 52245517 
648 807 18924889 
648 917 29454025 
648 732 20096231 
649 944 32712673 
650 844 54495574 
650 897 44981417 
651 709 40128272 
652 803 18210416 
654 836 73287347 
654 685 80880208 
655 882 71245900 
655 752 99397991 
655 871 71064347 
656 967 26697226 
657 659 42084835 
658 677 10253950 
659 763 48828254 
660 707 35587214 
660 969 78550943 
662 829 82889844 
662 736 7553825 
663 724 74042133 
665 686 51804558 
665 879 63979641 
665 896 46463257 
665 860 82461695 
666 878 64802082 
667 901 60250617 
667 889 73308073 
668 705 47469894 
668 958 17780076 
669 910 8660647 
670 938 40655699 
671 726 6539570 
671 714 82643951 
671 941 5413201 
671 954 46118252 
671 736 46512733 
672 770 31089789 
672 811 12483859 
672 845 6610676 
672 894 75886904 
673 790 9373818 
674 701 15233384 
675 715 58662794 
675 735 34346807 
675 943 23023752 
676 930 16441256 
677 906 41707472 
677 701 60417739 
678 784 57339780 
678 999 87128966 
679 699 3588150 
679 820 50535875 
679 993 75391638 
680 699 82589988 
681 774 17127978 
682 845 11265160 
682 844 37550271 
684 904 61950954 
684 728 65996464 
684 773 48851499 
686 838 85445351 
686 977 98663697 
686 905 64417172 
686 893 36292425 
687 908 33881162 
687 911 30585319 
687 827 90616395 
689 899 57016547 
689 745 24856172 
689 842 35782659 
690 958 20508159 
690 801 26833753 
690 799 34452299 
690 807 87215740 
692 756 86938202 
693 826 66274826 
694 841 27205477 
694 955 51814041 
695 782 2408367 
695 903 19377071 
699 938 6975872 
700 947 71038515 
701 971 14537457 
703 858 93091705 
703 1000 89935742 
706 931 20710899 
706 825 39092558 
707 897 51708138 
709 751 48598908 
709 990 57724312 
709 836 28666358 
710 802 88460354 
711 984 21913991 
712 752 41705839 
712 881 46930796 
713 782 68196347 
713 777 27753227 
714 944 88206070 
714 969 98392757 
714 956 26706085 
715 974 2705249 
716 782 57195897 
716 767 32883524 
717 791 76231429 
717 793 41101418 
717 922 76971823 
718 891 17295006 
720 888 5423292 
720 762 35171294 
722 994 60541793 
724 934 13859552 
724 960 20628913 
725 972 30007964 
726 841 66504845 
728 822 17722322 
729 924 81618412 
729 844 5231315 
730 884 8589473 
730 812 96657049 
731 876 98382852 
731 880 32914118 
732 776 14233800 
732 768 77206640 
734 777 59851196 
734 759 54981661 
735 962 140484 
738 907 22160335 
741 792 30729197 
742 753 90156160 
742 998 36294066 
744 868 10637482 
745 906 58994297 
745 992 81294080 
747 749 47362258 
748 827 88540682 
748 750 60323797 
749 866 81206790 
751 844 78935626 
751 863 86528143 
754 858 41349299 
756 819 95058484 
758 865 47869034 
758 763 45209403 
758 809 64872705 
759 776 51195045 
761 923 46488470 
761 957 53441662 
764 926 51342952 
765 820 46246507 
766 788 98593102 
767 886 28398109 
770 954 25823330 
770 942 21015751 
772 962 20292742 
773 969 9087383 
773 806 51641942 
776 815 56965880 
776 872 27056561 
781 978 66028055 
784 867 71125544 
786 832 51287032 
786 920 23470747 
787 821 30152857 
788 902 15774815 
788 897 34075415 
788 888 37502077 
788 834 1682435 
789 792 95524138 
790 994 3822184 
790 793 49399521 
791 801 14762262 
793 885 6081353 
793 944 98455119 
794 817 21580059 
795 797 89704099 
795 923 910354 
795 933 41071887 
797 847 93233844 
799 970 68093924 
799 977 42233441 
800 968 37288331 
800 964 39100966 
803 951 10431212 
807 997 20754451 
810 987 17174196 
810 999 75483602 
811 941 62984879 
815 995 67346897 
820 949 66277443 
820 832 50350705 
821 986 41210747 
823 950 79202448 
823 860 54050293 
823 985 20542963 
824 975 31804000 
824 928 96292219 
824 833 26647905 
824 957 48054023 
826 999 35486160 
826 995 54377058 
828 976 14006651 
828 932 87414452 
828 901 47289684 
829 836 81386336 
831 843 2868164 
833 888 53270410 
833 897 54486970 
834 910 41099060 
835 871 54102649 
836 994 46784879 
836 862 88132675 
837 996 15972577 
837 882 95549917 
840 978 60449808 
844 885 1533360 
844 920 17704631 
846 994 5348876 
846 893 79519420 
848 986 46691600 
850 919 6990725 
853 863 78339828 
854 995 87748324 
859 893 80795845 
860 945 17100667 
861 981 77913087 
864 920 24633264 
865 984 72254698 
866 998 64113836 
869 904 26244841 
874 976 41878407 
877 957 19673661 
877 982 72077661 
881 965 38706896 
884 960 60026045 
886 967 287066 
886 937 4757130 
887 978 37093781 
888 927 79108007 
892 957 21723487 
901 924 15548300 
904 948 36292179 
907 944 80346004 
909 966 90001237 
910 955 12267910 
911 940 75466853 
912 914 91650809 
914 975 29929602 
916 918 74663820 
916 946 61032036 
921 924 31758021 
928 985 37686287 
937 965 8319471 
948 981 47851016 
981 991 87052760 
